"","Team","Quals"
"1","Mexico",1
"3","United States",0.9787
"2","Canada",0.5609
"13","Brazil",1
"24","Argentina",0.9987
"31","Uruguay",0.9908
"5","Colombia",0.8567
"14","Iran",0.9874
"25","South Korea",0.8126
"15","Australia",0.8129
"4","Japan",0.7406
"29","Senegal",0.9824
"9","Nigeria",0.9583
"51","Tunisia",0.9373
"34","Morocco",0.8689
"22","Egypt",0.6614
"16","France",1
"21","Belgium",1
"44","England",1
"50","Germany",0.9989
"26","Denmark",0.9983
"17","Portugal",0.9977
"6","Spain",0.9811
"11","Italy",0.974
"38","Croatia",0.941
"32","Netherlands",0.9246
"12","Switzerland",0.8805
"23","Wales",0.5484
"7","Sweden",0.5198
"27","Saudi Arabia",0.7292
"52","Costa Rica",0.4226
