date,home_team,away_team,home_score,away_score
2021-09-01,Central African Republic,Cape Verde Islands,1,1
2021-09-01,Senegal,Togo,2,0
2021-09-01,Guinea-Bissau,Guinea,1,1
2021-09-01,Mali,Rwanda,1,0
2021-09-01,Egypt,Angola,1,0
2021-09-01,Libya,Gabon,2,1
2021-09-02,Kenya,Uganda,0,0
2021-09-02,Congo DR,Tanzania,1,1
2021-09-02,Niger,Burkina,0,2
2021-09-02,Namibia,Congo,1,1
2021-09-02,Madagascar,Benin,0,1
2021-09-02,Algeria,Djibouti,8,0
2021-09-02,Morocco,Sudan,2,0
2021-09-02,Mozambique,Ivory Coast,0,0
2021-09-02,Zimbabwe,South Africa,0,0
2021-09-02,Mauritania,Zambia,1,2
2021-09-02,Nigeria,Liberia,2,0
2021-09-02,Tunisia,Equatorial Guinea,3,0
2021-09-02,Cameroon,Malawi,2,0
2021-09-02,Ghana,Ethiopia,1,0
2021-09-02,Rwanda,Kenya,1,1
2021-09-05,Togo,Namibia,0,1
2021-09-05,Gabon,Egypt,1,1
2021-09-06,Djibouti,Niger,2,4
2021-09-06,Uganda,Mali,0,0
2021-09-06,Benin,Congo DR,1,1
2021-09-06,Central African Republic,Liberia,1,0
2021-09-06,South Africa,Ghana,1,0
2021-09-06,Ivory Coast,Cameroon,2,1
2021-09-06,Zambia,Tunisia,0,2
2021-09-06,Malawi,Mozambique,1,0
2021-09-06,Ethiopia,Zimbabwe,1,0
2021-09-06,Tanzania,Madagascar,3,2
2021-09-06,Equatorial Guinea,Mauritania,1,0
2021-09-06,Cape Verde Islands,Nigeria,1,2
2021-09-06,Congo,Senegal,1,3
2021-09-06,Burkina,Algeria,1,1
2021-09-06,Angola,Libya,0,1
2021-09-06,Sudan,Guinea-Bissau,2,4
2021-09-02,Japan,Oman,0,1
2021-09-02,South Korea,Iraq,0,0
2021-09-02,Iran,Syria,1,0
2021-09-02,United Arab Emirates,Lebanon,0,0
2021-09-02,Australia,China,3,0
2021-09-02,Saudi Arabia,Vietnam,3,1
2021-09-02,South Korea,Lebanon,1,0
2021-09-02,Vietnam,Australia,0,1
2021-09-02,China,Japan,0,1
2021-09-02,Syria,United Arab Emirates,1,1
2021-09-02,Oman,Saudi Arabia,0,1
2021-09-02,Iraq,Iran,0,3
2021-09-02,Bolivia,Colombia,1,1
2021-09-02,Ecuador,Paraguay,2,0
2021-09-02,Venezuela,Argentina,1,3
2021-09-02,Chile,Brazil,0,1
2021-09-02,Peru,Uruguay,1,1
2021-09-02,Ecuador,Chile,0,0
2021-09-02,Paraguay,Colombia,1,1
2021-09-02,Uruguay,Bolivia,4,2
2021-09-02,Peru,Venezuela,1,0
2021-09-02,Uruguay,Ecuador,1,0
2021-09-02,Paraguay,Venezuela,2,1
2021-09-02,Colombia,Chile,3,1
2021-09-02,Argentina,Bolivia,3,0
2021-09-02,Brazil,Peru,2,0
2021-09-02,Canada,Honduras,1,1
2021-09-02,Panama,Costa Rica,0,0
2021-09-02,Mexico,Jamaica,2,1
2021-09-02,El Salvador,United States,0,0
2021-09-02,El Salvador,Honduras,0,0
