timestamp,date,status,attendance,home_team,away_team,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1559811600,2019-07-06,complete,1685,Mongolia,Brunei,Pranjal Banerji,N/A,0,0,0.9,1.5,2,0,2,1,1,0,"9,69",,9,1,0,0,1,0,0,0,0,1,18,8,9,2,9,6,-1,-1,54,46,2.12,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1.05,6.5,11,1.18,1.53,2.25,3.75,2.1,1.66,N/A
1559820600,2019-07-06,complete,901,Macau,Sri Lanka,N/A,N/A,0,0,1.5,0.38,1,0,1,0,0,0,52,,1,6,4,0,0,0,1,3,0,0,9,21,5,6,4,15,-1,-1,46,54,1.37,2.41,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.4,1.61,1.3,2,3.4,7,1.8,1.95,N/A
1559820600,2019-07-06,complete,4572,Laos,Bangladesh,N/A,N/A,0,0,0.5,0.6,0,1,1,0,0,0,,71,9,3,1,0,3,0,0,1,0,3,5,3,0,2,5,1,-1,-1,50,50,0.57,0.51,0,0,0,0,0,0,0,0,0,0,0,0,2,3.25,1.72,1.17,1.57,2.3,3.8,1.44,2.62,New Laos National Stadium
1559820600,2019-07-06,complete,33706,Cambodia,Pakistan,Shaun Evans,N/A,0,0,0.7,0,2,0,2,0,0,0,"81,84",,4,3,1,0,0,0,0,1,0,0,12,13,7,7,5,6,-1,-1,55,45,2.04,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2.62,3.6,1.44,1.28,1.85,3.2,5.5,1.8,1.95,N/A
1559822400,2019-07-06,complete,8000,Bhutan,Guam,N/A,N/A,0,0,1.5,0.3,1,0,1,1,1,0,35,,7,6,2,0,2,0,1,1,1,1,17,13,4,2,13,11,-1,-1,50,50,1.8,1.29,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4,1.5,1.25,1.8,2.9,5.25,1.8,1.95,Changlimithang National Stadium
1559911500,2019-07-06,complete,4244,Malaysia,Timor-Leste,N/A,N/A,0,0,1.8,0,7,1,8,4,4,0,"12,23,43,45'1,59,78,89",52,12,5,1,0,2,0,0,1,1,1,24,7,12,4,12,3,-1,-1,50,50,2.96,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1.05,11,21,0,1.25,0,0,3,1.36,Stadium Nasional Bukit Jalil
1560230100,2019-07-06,complete,1029,Guam,Bhutan,N/A,N/A,0,3,0.3,1.5,5,0,5,2,2,0,"23,27,51,82,90'4",,-1,-1,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,100,0,0,13,4,1.09,4.75,6.25,1.25,1.9,3.2,0,2.17,1.69,Guam National Football Stadium
1560247200,2019-07-06,complete,N/A,Sri Lanka,Macau,N/A,N/A,0,3,0.38,1.5,3,0,3,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,100,7,4,1.2,3.6,4.33,1.28,1.9,3.25,6.5,1.95,1.8,Sugathadasa Stadium
1560255300,2019-07-06,complete,17210,Brunei,Mongolia,N/A,N/A,0,3,1.5,0.9,2,1,3,2,2,0,"4,34",47,-1,-1,3,0,3,0,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,100,0,0,0,0,100,0,100,10,1,2.62,3.5,1.44,1.36,2.1,3.75,8,1.95,1.8,Stadium Sultan Hassanal Bolkiah
1560257100,2019-07-06,complete,12776,Timor-Leste,Malaysia,Yusuke Araki,N/A,0,3,0,1.8,1,5,6,3,0,3,72,"10,17,37,55,64",8,4,0,0,3,0,0,0,1,2,12,7,8,5,4,2,-1,-1,60,40,1.91,1.12,8,100,100,100,100,100,100,100,100,100,17,3,1.04,13,51,0,1.11,0,0,2.38,1.53,Stadion Nasional Timor Leste
1560258000,2019-07-06,complete,7453,Bangladesh,Laos,N/A,N/A,3,0,0.6,0.5,0,0,0,0,0,0,,,5,6,4,0,1,0,1,3,0,1,13,14,6,8,7,6,-1,-1,50,50,1.66,1.82,1,0,0,0,0,0,0,0,0,100,12,4,1.16,4.1,5,1.29,1.95,3.28,6.5,1.95,1.8,Bangabandhu National Stadium
1560268800,2019-07-06,complete,300,Pakistan,Cambodia,N/A,N/A,0,3,0,0.7,1,2,3,1,1,0,18,"64,89",8,5,4,0,2,0,1,3,1,1,20,14,8,6,12,8,-1,-1,44,56,2.08,1.5,2,0,100,0,0,0,0,0,100,100,7,1,1.3,3.75,3.4,1.29,2,3.56,6.5,1.95,1.8,Punjab Stadium
1567661400,2019-09-05,complete,714,Guam,Maldives,N/A,1,1.5,0,0.3,0.88,0,1,1,1,0,1,,27,5,6,4,1,1,0,2,3,0,1,0,2,0,2,0,0,-1,-1,50,50,0,0,1.5,0,25,25,25,25,25,50,25,25,6,1.5,1.91,3.65,3.7,1.28,1.91,3.25,6.25,1.77,1.95,N/A
1567672200,2019-09-05,canceled,40000,North Korea,Lebanon,N/A,1,0,0,0,1.38,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.35,3.25,1.38,2.2,4.1,8,1.91,1.8,N/A
1567674000,2019-09-05,complete,3221,Mongolia,Myanmar,Arumughan Rowan,1,1.5,0,0.9,0.75,1,0,1,1,1,0,17,,3,4,0,0,1,1,0,0,0,2,5,16,2,7,3,9,-1,-1,37,63,0.72,1.86,1.25,25,50,25,0,0,25,50,0,50,9,1.5,4.15,3.95,1.77,1.24,1.77,2.95,5.55,1.77,2,N/A
1567681800,2019-09-05,complete,5520,Taiwan,Jordan,Yusuke Araki,1,0,0,0,1.75,1,2,3,2,0,2,81,"19,37",1,9,0,0,0,0,0,0,0,0,4,17,2,9,2,8,7,6,35,65,0.74,2.39,0,0,0,0,0,0,0,0,0,0,0,0,14.75,6.05,1.21,1.25,1.8,3,5.6,2.9,1.37,Taipei Municipal Stadium
1567683000,2019-09-05,complete,2645,Philippines,Syria,Jumpei Iida,1,0,0,1.38,2.2,2,5,7,3,1,2,"6,83","14,30,48,55,85",-1,-1,1,0,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,4.15,1.56,1.26,1.83,3.15,5.9,1.87,1.83,N/A
1567683000,2019-09-05,complete,45500,Cambodia,Hong Kong,Ilgiz Tantashev,1,3,0,0.7,0.63,1,1,2,2,1,1,33,16,4,5,2,0,1,0,2,0,0,1,9,9,3,2,6,7,10,11,55,45,1.29,1.16,1.25,25,50,25,0,0,0,25,50,50,4.5,1.5,4.65,3.8,1.71,1.24,1.77,2.9,5.45,1.71,2,N/A
1567683900,2019-09-05,complete,7018,Singapore,Yemen,Shaun Evans,1,0,0,0.88,0.63,2,2,4,3,1,2,"27,52","34,45",3,0,1,0,2,0,0,1,0,2,21,9,9,5,12,4,10,22,71,29,2.74,1.18,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3,2.65,1.5,2.55,5.05,10.25,2.1,1.67,The National Stadium
1567684800,2019-09-05,complete,19011,Thailand,Vietnam,Saoud Ali Al-Adba,1,0,0,1.13,1.7,0,0,0,0,0,0,,,4,2,1,0,0,0,0,1,0,0,8,5,3,2,5,3,-1,-1,51,49,1.32,0.86,0,0,0,0,0,0,0,0,0,0,0,0,2,3.35,3.75,1.43,2.35,4.45,8.75,2.05,1.69,Buriram Stadium
1567686600,2019-09-05,complete,54659,Indonesia,Malaysia,Hyung-Jin Ko,1,0,3,0.13,1.8,2,3,5,3,2,1,"11,38","36,65,90'6",4,6,0,0,1,0,0,0,0,1,6,17,3,6,3,11,16,16,50,50,0.99,2.06,3.5,50,50,50,50,50,50,50,50,50,8,2,2,3.4,3.7,1.37,2.15,3.95,7.75,1.91,1.8,Patriot Chandrabhaga Stadium
1567692000,2019-09-05,complete,6740,Palestine,Uzbekistan,Ming Fu,1,0,0,1.25,1.88,2,0,2,0,0,0,"60,83",,2,5,2,0,1,0,1,1,1,0,15,12,6,6,9,6,13,7,36,64,1.97,2.25,0,0,0,0,0,0,0,0,0,0,0,0,4.15,3.45,1.87,1.43,2.3,4.4,8.75,2.1,1.67,Faisal Al-Husseini International Stadium
1567692000,2019-09-05,complete,22798,India,Oman,N/A,1,0,0,0.88,2.1,1,2,3,1,1,0,24,"82,90",2,8,2,0,1,0,0,2,1,0,6,10,3,8,3,2,11,6,50,50,0.93,1.84,0,0,0,0,0,0,0,0,0,0,0,0,5.2,3.55,1.69,1.4,2.2,4.15,8.25,2.15,1.65,Indira Gandhi Athletic Stadium
