timestamp,date,status,attendance,home_team,away_team,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1616605200,2021-03-24,complete,N/A,Turkey,Netherlands,N/A,1,0,0,1.83,2.17,4,2,6,2,2,0,"15,34,46,81","75,76",3,11,5,0,1,0,2,3,0,1,9,21,6,10,3,11,18,12,34,66,1.21,2.59,0,0,0,0,0,0,0,0,0,0,0,0,4.79,3.85,1.75,1.29,1.83,2.85,6.5,1.95,1.8,Atatürk Olimpiyat Stadı
1616615100,2021-03-24,complete,N/A,Portugal,Azerbaijan,N/A,1,0,0,2.6,0.2,1,0,1,1,1,0,36,,10,0,1,0,1,0,0,1,0,1,32,6,15,2,17,4,9,11,66,34,3.95,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1.03,14,34,1.07,1.23,1.6,2.2,4,1.22,Allianz Stadium
1616615100,2021-03-24,complete,N/A,Serbia,Republic of Ireland,N/A,1,0,0,2.2,0.4,3,2,5,2,1,1,"40,69,75","18,86",9,6,1,0,0,0,0,1,0,0,14,8,5,3,9,5,11,18,55,45,1.67,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1.65,3.6,6.4,1.45,2.36,4.33,10,2.2,1.62,Stadion Rajko Mitić
1616615100,2021-03-24,complete,N/A,Finland,Bosnia and Herzegovina,N/A,1,0,0,1.25,0.75,2,2,4,0,0,0,"58,77","55,84",5,7,3,0,0,0,1,2,0,0,12,19,3,8,9,11,11,10,43,57,1.13,2.18,0,0,0,0,0,0,0,0,0,0,0,0,2.75,3.1,2.83,1.5,2.51,4.5,11,2,1.75,Helsingin olympiastadion
1616615100,2021-03-24,complete,N/A,France,Ukraine,N/A,1,0,0,2,1,1,1,2,1,1,0,19,57,12,0,1,0,0,0,1,0,0,0,18,6,4,3,14,3,17,3,63,37,2.24,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1.36,4.4,9,1.25,1.8,3.2,5.5,2.25,1.57,N/A
1616615100,2021-03-24,complete,N/A,Estonia,Czech Republic,N/A,1,0,0,0.25,1.4,2,6,8,5,1,4,"12,86","18,27,32,43,48,56",0,6,0,0,0,0,0,0,0,0,7,22,4,9,3,13,10,14,24,76,0.84,2.74,0,0,0,0,0,0,0,0,0,0,0,0,8,4.75,1.36,1.11,1.91,2.1,3,4.33,1.2,A. Le Coq Arena
1616615100,2021-03-24,complete,N/A,Belgium,Wales,N/A,1,0,0,2.67,1.75,3,1,4,3,2,1,"22,28,73",10,4,1,1,0,0,0,0,1,0,0,13,5,5,2,8,3,12,3,74,26,1.48,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1.3,5,10,1.29,1.6,2.29,6.5,2.2,1.62,King Power at Den Dreef Stadion
1616615100,2021-03-24,complete,N/A,Gibraltar,Norway,N/A,1,0,0,0,2.17,0,3,3,2,0,2,,"43,45,57",1,14,3,0,1,0,0,3,0,1,2,31,0,14,2,17,15,16,16,84,0.22,3.73,0,0,0,0,0,0,0,0,0,0,0,0,34,17,1.02,1.04,1.18,1.68,2,4.33,1.2,Victoria Stadium
1616615100,2021-03-24,complete,N/A,Latvia,Montenegro,N/A,1,0,0,0.83,1.33,1,2,3,2,1,1,40,"41,83",3,11,4,0,1,0,1,3,1,0,13,29,5,8,8,21,18,13,38,62,1.41,2.93,0,0,0,0,0,0,0,0,0,0,0,0,4.75,3.3,1.8,1.5,2.4,5.5,13,2.25,1.57,Stadions Skonto
1616615100,2021-03-24,complete,N/A,Cyprus,Slovakia,N/A,1,0,0,0.67,1.5,0,0,0,0,0,0,,,3,1,2,0,0,0,0,2,0,0,12,7,5,3,7,4,16,20,40,60,1.28,0.87,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.3,2.05,1.38,2,4,9,2.05,1.7,N/A
1616615100,2021-03-24,complete,N/A,Malta,Russia,N/A,1,0,0,0.67,2.17,1,3,4,2,0,2,56,"23,35,90",0,5,0,0,1,0,0,0,0,1,7,10,6,6,1,4,13,9,43,57,1.12,1.57,0,0,0,0,0,0,0,0,0,0,0,0,31,7.5,1.1,1.13,1.45,2.1,3.5,3,1.36,Ta'Qali National Stadium
1616615100,2021-03-24,complete,N/A,Slovenia,Croatia,N/A,1,0,0,1.17,2.17,1,0,1,1,1,0,15,,2,3,2,0,5,0,0,2,2,3,9,13,5,5,4,8,11,15,30,70,1.12,1.82,0,0,0,0,0,0,0,0,0,0,0,0,5.25,3.5,1.67,1.33,2.15,4,9,2,1.75,Stadion Stožice
1616691600,2021-03-24,complete,N/A,Bulgaria,Switzerland,N/A,1,0,0,1,2,1,3,4,3,0,3,46,"7,10,13",1,7,1,0,1,0,0,1,0,1,9,14,2,6,7,8,13,18,30,70,0.88,1.71,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3.8,1.5,1.3,1.7,2.85,7,2.1,1.67,Stadion Slavija
1616691600,2021-03-24,complete,N/A,Israel,Denmark,N/A,1,0,0,1.67,3,0,2,2,1,0,1,,"13,67",5,8,2,0,2,0,0,2,1,1,15,15,4,8,11,7,9,10,49,51,1.56,1.78,0,0,0,0,0,0,0,0,0,0,0,0,4.25,3.1,1.8,1.42,2.3,4,9,2,1.75,N/A
1616701500,2021-03-24,complete,N/A,Spain,Greece,N/A,1,0,0,2.17,1.5,1,1,2,1,1,0,33,57,3,0,1,0,2,0,0,1,0,2,10,2,3,2,7,0,15,10,80,20,1.44,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1.14,6.5,19,1.2,1.53,2.24,5,2.25,1.57,Estadio Nuevo Los Cármenes
1616701500,2021-03-24,complete,N/A,Sweden,Georgia,N/A,1,0,0,2.25,0.2,1,0,1,1,1,0,35,,4,2,3,0,1,0,0,3,0,1,11,10,4,4,7,6,19,9,54,46,1.36,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1.25,4.6,12,1.3,1.91,3.75,8,2.5,1.5,Friends Arena
