timestamp,date,status,attendance,home_team,away_team,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1602196200,2020-10-08,complete,N/A,Paraguay,Peru,Néstor Fabián Pitana,1,0,0,1.22,0.89,2,2,4,0,0,0,"66,81","52,85",3,3,3,0,1,0,2,1,1,0,13,12,9,6,4,6,13,14,57,43,1.93,1.55,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.15,3.4,1.5,2.55,5.05,10.25,2.1,1.62,Estadio Defensores del Chaco (Asunción)
1602197100,2020-10-08,complete,N/A,Uruguay,Chile,Eber Aquino,1,0,0,1.67,0.78,2,1,3,1,1,0,"39,90'3",54,6,3,3,0,2,0,0,3,0,2,9,6,3,4,6,2,13,18,56,44,1.29,1.01,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.75,4.45,1.27,1.87,3.2,6,1.74,1.95,Estadio Centenario (Montevideo)
1602203400,2020-10-08,complete,N/A,Argentina,Ecuador,Roberto Tobar Vargas,1,0,0,2.25,1.44,1,0,1,1,1,0,13,,6,1,2,0,1,0,1,1,1,0,7,3,3,2,4,1,14,17,59,41,1.26,0.65,0,0,0,0,0,0,0,0,0,0,0,0,1.25,6.25,12,1.19,1.62,2.6,4.6,2.15,1.61,Estadio Alberto José Armando (Ciudad de Buenos Aires)
1602286200,2020-10-08,complete,N/A,Colombia,Venezuela,Guillermo Enrique Guerrero Alcivar,1,0,0,1.44,0.44,3,0,3,3,3,0,"16,26,45'3",,2,5,0,0,3,0,0,0,1,2,9,12,7,4,2,8,20,13,50,50,1.29,1.35,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4.8,9.5,1.29,1.91,3.35,6.45,2.25,1.56,Estadio Metropolitano Roberto Meléndez (Barranquilla)
1602289800,2020-10-08,complete,N/A,Brazil,Bolivia,Leodán González,1,0,0,3,0.67,5,0,5,2,2,0,"16,30,49,66,73",,8,2,1,0,4,0,0,1,0,4,23,4,11,2,12,2,12,9,70,30,2.94,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1.04,18,36,1.03,1.18,1.49,2.1,2.7,1.38,Neo Química Arena (São Paulo- São Paulo)
1602619200,2020-10-08,complete,N/A,Bolivia,Argentina,Diego Mirko Haro Sueldo,2,0,3,0.67,2.25,1,2,3,2,1,1,24,"45,79",3,7,4,0,3,0,1,3,1,2,12,17,2,4,10,13,14,9,54,46,1.22,1.72,3,0,50,50,50,50,50,100,50,50,8,6,6.05,4.6,1.53,1.29,1.91,3.3,6.35,2.05,1.67,Estadio Hernando Siles (La Paz)
1602622800,2020-10-08,complete,N/A,Ecuador,Uruguay,Wilmar Alexander Roldán Pérez,2,0,3,1.44,1.67,4,2,6,2,2,0,"15,45'4,52,75","84,90'5",6,1,2,0,0,0,1,1,0,0,20,10,10,5,10,5,9,9,51,49,2.32,1.34,2,50,50,50,0,0,0,100,50,50,7,4,3,3.2,2.55,1.36,2.1,3.85,7.5,1.83,1.87,Estadio Rodrigo Paz Delgado (Quito)
1602626400,2020-10-08,complete,N/A,Venezuela,Paraguay,Andrés José Rojas Noguera,2,0,1,0.44,1.22,0,1,1,0,0,0,,85,6,6,3,0,3,0,1,2,2,1,11,10,3,4,8,6,17,13,37,63,1.08,1.23,3.5,50,100,100,50,0,50,50,50,50,8,6,2.5,3.05,3.15,1.43,2.3,4.4,8.75,1.95,1.77,Estadio Olímpico Metropolitano de Mérida (Mérida)
1602633600,2020-10-08,complete,N/A,Peru,Brazil,Julio Bascuñán González,2,1,3,0.89,3,2,4,6,2,1,1,"6,59","28,64,83,90'4",1,2,2,2,0,0,1,3,0,0,8,13,7,9,1,4,20,14,34,66,1.23,1.78,4.5,50,100,100,100,50,50,50,100,100,11,2,8.75,4.75,1.39,1.31,1.95,3.5,6.7,2.25,1.56,Estadio Nacional de Lima (Lima)
1602635400,2020-10-08,complete,N/A,Chile,Colombia,Darío Herrera,2,0,3,0.78,1.44,2,2,4,3,2,1,"38,41","7,90'1",1,4,5,0,2,0,2,3,2,0,6,14,4,6,2,8,16,18,49,51,0.82,1.54,3,50,100,100,0,0,50,100,50,50,5,2,3.3,3.2,2.35,1.4,2.25,4.25,8.25,1.91,1.77,Estadio Nacional Julio Martínez Prádanos (Santiago de Chile)
1605211200,2020-11-12,complete,N/A,Bolivia,Ecuador,Wilton Pereira Sampaio,3,0,1.5,0.67,1.44,2,3,5,1,1,0,"37,60","46,55,88",4,6,2,0,2,0,1,1,2,0,20,14,7,7,13,7,11,10,41,59,2.01,1.66,3.75,50,75,75,50,50,75,100,50,75,6,5.5,4.07,3.62,1.89,1.29,1.98,3.25,6.5,1.77,1.95,Estadio Hernando Siles (La Paz)
1605225600,2020-11-12,complete,N/A,Argentina,Paraguay,Raphael Claus,3,3,2,2.25,1.22,1,1,2,2,1,1,41,21,7,2,2,0,4,0,1,1,1,3,17,7,7,3,10,4,9,16,67,33,2.12,0.8,2.25,50,50,50,25,0,25,50,25,75,11,5.5,1.39,4.9,8.75,1.28,1.91,3.3,6.25,2.2,1.59,Estadio Alberto José Armando (Ciudad de Buenos Aires)
1605299400,2020-11-12,complete,N/A,Colombia,Uruguay,Fernando Rapallini,3,2,1.5,1.44,1.67,0,3,3,1,0,1,,"5,54,73",6,1,4,1,1,0,1,4,0,1,12,8,3,5,9,3,15,18,59,41,1.44,1.07,4,75,100,100,50,25,75,100,50,75,6.5,2.5,2.1,3,3.7,1.4,2.15,3.6,7,1.8,1.91,Estadio Metropolitano Roberto Meléndez (Barranquilla)
1605308400,2020-11-12,complete,N/A,Chile,Peru,Esteban Ostojich,3,0.5,0.5,0.78,0.89,2,0,2,2,2,0,"20,35",,2,7,2,0,2,0,1,1,0,2,11,10,6,5,5,5,13,16,46,54,1.36,1.34,4.25,100,100,100,75,25,50,75,75,100,4,7,1.91,3.45,4.4,1.34,2.1,3.75,7.25,1.83,1.87,Estadio Nacional Julio Martínez Prádanos (Santiago de Chile)
1605313800,2020-11-12,complete,N/A,Brazil,Venezuela,Juan Gabriel Benítez,3,3,0,3,0.44,1,0,1,0,0,0,67,,7,2,1,0,3,0,1,0,1,2,16,6,7,2,9,4,13,12,70,30,1.98,0.62,3.75,25,75,75,50,50,75,75,50,75,10.5,3.5,1.21,7,14,1.17,1.59,2.5,4.35,2.25,1.56,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1605646800,2020-11-12,complete,N/A,Venezuela,Chile,Patricio Loustau,4,0,1.33,0.44,0.78,2,1,3,2,1,1,"9,81",15,9,5,1,0,2,0,0,1,1,1,15,12,6,2,9,10,10,7,42,58,1.58,1.31,2.34,34,67,50,17,0,50,67,17,67,6.33,6,3.1,3.3,2.15,1.36,2.2,3.95,7.75,1.91,1.83,Estadio Olímpico de la UCV (Caracas)
1605646800,2020-11-12,complete,N/A,Ecuador,Colombia,Jesús Valenzuela Sáez,4,2,1.33,1.44,1.44,6,1,7,5,4,1,"7,9,32,39,78,90'1",45'1,5,4,4,1,5,0,1,4,1,4,16,11,10,3,6,8,17,16,54,46,2.04,1.12,3.67,50,84,84,50,34,50,100,50,67,8.33,4,2.3,3.2,2.9,1.33,2.15,3.75,7.25,1.83,1.91,Estadio Rodrigo Paz Delgado (Quito)
1605654000,2020-11-12,complete,N/A,Paraguay,Bolivia,Alexis Herrera,4,1.67,0,1.22,0.67,2,2,4,3,1,2,"19,72","41,45",7,3,2,0,3,0,0,2,1,2,23,8,6,3,17,5,12,12,69,31,2.26,0.95,3.33,67,84,67,50,34,50,67,50,84,6.67,6.66,1.33,5.25,10.75,1.25,1.83,3.05,5.75,2.2,1.59,Estadio Defensores del Chaco (Asunción)
1605654000,2020-11-12,complete,N/A,Uruguay,Brazil,Roberto Tobar Vargas,4,2,3,1.67,3,0,2,2,2,0,2,,"34,45",6,2,4,1,3,0,0,5,1,2,7,8,0,6,7,2,15,12,49,51,0.77,1.14,4,50,84,84,50,50,50,84,84,100,8.34,2,4.45,3.4,1.95,1.43,2.35,4.4,8.75,2.1,1.67,Estadio Centenario (Montevideo)
1605659400,2020-11-12,complete,N/A,Peru,Argentina,Wilmar Alexander Roldán Pérez,4,0.33,2.33,0.89,2.25,0,2,2,2,0,2,,"17,28",3,6,3,0,3,0,2,1,0,3,13,18,2,4,11,14,18,13,54,46,1.34,1.67,3,67,84,50,34,17,67,84,34,50,10.34,5.33,5.5,3.75,1.69,1.34,2.1,3.75,7.25,2,1.71,Estadio Nacional de Lima (Lima)
1622750400,2021-06-03,complete,N/A,Bolivia,Venezuela,Jhon Alexander Ospina Londoño,7,0.25,0.75,0.67,0.44,3,1,4,2,1,1,"5,60,83",26,6,2,3,0,2,0,2,1,2,0,16,12,8,7,8,5,14,11,52,48,2.02,1.44,3.13,50,75,75,38,25,63,75,25,88,8.5,5.75,1.71,3.4,4.6,1.4,2.2,3.45,6.75,1.8,1.87,Estadio Hernando Siles (La Paz)
1622757600,2021-06-03,complete,N/A,Uruguay,Paraguay,Wilmar Alexander Roldán Pérez,7,1.5,1.5,1.67,1.22,0,0,0,0,0,0,,,1,3,3,0,1,0,2,1,0,1,7,8,3,5,4,3,11,10,57,43,1.11,1.15,3.13,63,88,63,38,13,50,75,50,75,8,5.5,1.67,3.75,6,1.43,2.25,3.95,7.75,2.2,1.61,Estadio Centenario (Montevideo)
1622764800,2021-06-03,complete,N/A,Argentina,Chile,Jesús Valenzuela Sáez,7,2.5,1,2.25,0.78,1,1,2,2,1,1,24,36,3,4,2,0,2,0,1,1,1,1,13,7,8,2,5,5,17,15,54,46,1.81,0.78,2.5,63,88,50,13,0,75,100,13,50,9.25,5.25,1.47,4.55,7.25,1.34,1.91,3.25,6,2.1,1.67,Estadio Único Madre de Ciudades (Santiago del Estero- Prov. de Santiago del Estero)
1622772000,2021-06-03,complete,N/A,Peru,Colombia,Wilton Pereira Sampaio,7,0.25,1,0.89,1.44,0,3,3,1,0,1,,"40,49,55",5,5,4,1,3,1,3,2,1,3,9,9,3,5,6,4,13,18,49,51,1.09,1.31,3.88,50,100,75,50,25,75,88,50,63,7.5,6,3.95,3.25,2.1,1.49,2.3,4.1,8.5,1.95,1.77,Estadio Nacional de Lima (Lima)
1622853000,2021-06-03,complete,N/A,Brazil,Ecuador,Alexis Herrera,7,3,2.25,3,1.44,2,0,2,0,0,0,"65,90'4",,4,3,2,0,4,0,1,1,1,3,18,4,10,0,8,4,12,16,65,35,2.14,0.43,4.13,50,75,63,63,63,63,88,63,75,9.25,3.75,1.25,6.5,12,1.24,1.62,2.55,4.6,2.1,1.65,N/A
1623186000,2021-06-03,complete,N/A,Ecuador,Peru,Esteban Ostojich,8,1.8,0.2,1.44,0.89,1,2,3,0,0,0,90'2,"62,88",8,0,2,0,3,0,1,1,2,1,16,9,4,4,12,5,10,16,69,31,1.81,0.98,3.8,50,90,60,50,40,50,80,70,70,8,6.2,1.36,5.25,8.75,1.26,1.71,2.8,5.25,2,1.71,Estadio Rodrigo Paz Delgado (Quito)
1623191400,2021-06-03,complete,N/A,Venezuela,Uruguay,Anderson Daronco,8,0.6,1.4,0.44,1.67,0,0,0,0,0,0,,,4,7,3,0,1,0,2,1,0,1,17,8,7,4,10,4,10,19,43,57,1.84,1.09,2.6,40,70,60,20,10,50,70,40,70,7.8,5,5.75,3.8,1.69,1.44,2.25,4.05,8.25,2.2,1.61,Estadio Olímpico de la UCV (Caracas)
1623193200,2021-06-03,complete,N/A,Colombia,Argentina,Roberto Tobar Vargas,8,1.4,2.2,1.44,2.25,2,2,4,2,0,2,"51,90'4","3,8",8,4,5,0,4,0,2,3,1,3,15,16,6,9,9,7,27,18,47,53,1.72,1.91,3,50,90,60,20,10,70,100,30,50,10,5.8,3.3,3.05,2.45,1.5,2.35,4.15,8.25,2.05,1.69,Estadio Metropolitano Roberto Meléndez (Barranquilla)
1623198600,2021-06-03,complete,N/A,Paraguay,Brazil,Patricio Loustau,8,1.4,3,1.22,3,0,2,2,1,0,1,,"4,90'3",7,5,4,0,2,0,1,3,1,1,10,13,4,5,6,8,20,10,50,50,1.24,1.47,2.7,40,70,40,40,20,50,50,40,70,8.8,4,7.25,3.95,1.54,1.43,2.2,3.95,8,2.35,1.51,Estadio Defensores del Chaco (Asunción)
1623202200,2021-06-03,complete,N/A,Chile,Bolivia,Eber Aquino,8,1,0.8,0.78,0.67,1,1,2,0,0,0,69,82,13,0,2,0,4,0,0,2,2,2,30,9,7,2,23,7,14,12,77,23,3.18,0.83,3.5,80,100,80,50,20,80,100,40,80,6.6,5.8,1.2,7.25,14,1.24,1.62,2.55,4.6,2.4,1.5,Estadio San Carlos de Apoquindo (Santiago de Chile)
1630612800,2021-09-02,complete,N/A,Bolivia,Colombia,Alexis Herrera,9,0.83,1.33,0.67,1.44,1,1,2,0,0,0,83,69,7,2,3,1,1,0,1,3,1,0,15,9,3,4,12,5,16,10,57,43,1.92,1.15,3.92,67,100,92,59,25,67,92,67,92,7.83,7,4.1,3.25,2.05,1.47,2.3,4,7.75,2.05,1.8,Estadio Hernando Siles (La Paz)
1630616400,2021-09-02,complete,N/A,Ecuador,Paraguay,Andrés Matonte,9,1.5,1.17,1.44,1.22,2,0,2,0,0,0,"88,90'5",,5,1,3,0,2,0,1,2,1,1,12,3,3,2,9,1,14,6,64,36,1.41,0.63,3.09,59,75,50,42,25,33,59,50,75,9.5,5.5,1.67,3.75,6,1.38,2.1,3.6,7,2.1,1.77,Estadio Rodrigo Paz Delgado (Quito)
1630627200,2021-09-02,complete,N/A,Venezuela,Argentina,Leodán González,9,0.67,2,0.44,2.25,1,3,4,1,0,1,90'4,"45'2,71,74",4,5,2,1,0,0,2,1,0,0,7,14,3,11,4,3,11,7,27,73,0.91,2.17,2.17,50,67,42,17,0,67,75,17,50,10.17,5.17,9.5,4.7,1.39,1.34,1.91,3.3,6.5,2.3,1.65,Estadio Olímpico de la UCV (Caracas)
1630630800,2021-09-02,complete,N/A,Chile,Brazil,Diego Mirko Haro Sueldo,9,1,3,0.78,3,0,1,1,0,0,0,,64,2,3,4,0,4,0,0,4,1,3,6,7,5,3,1,4,19,19,61,39,1.25,0.97,2.84,50,92,42,25,17,59,75,42,75,9.34,4,5.75,3.35,1.77,1.53,2.5,4.6,10,2.4,1.59,Estadio Monumental David Arellano (Santiago de Chile)
1630630800,2021-09-02,complete,N/A,Peru,Uruguay,Néstor Fabián Pitana,9,0.67,1.33,0.89,1.67,1,1,2,2,1,1,24,29,7,5,0,0,1,0,0,0,0,1,9,10,3,4,6,6,9,11,65,35,1.34,1.31,2.83,42,84,59,25,17,42,67,59,59,6.84,5.66,3.35,3.05,2.45,1.61,2.65,4.85,10,2.3,1.62,Estadio Nacional de Lima (Lima)
1630868400,2021-09-02,suspended,N/A,Brazil,Argentina,Jesús Valenzuela Sáez,6,3,2.14,3,2.25,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2.64,43,79,36,29,15,57,79,36,65,9.86,4.15,1.95,3.25,4,1.42,2.23,4.25,8.5,2.1,1.77,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
